"cle_unique";"colonne";"valeur"
E1922609_P1_23;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E1922609_P1_23;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E1922609_P1_23;source_du_fichier;GLASSDOOR
E1922609_P1_23;type_du_fichier;AVIS-SOC
E1922609_P1_23;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13575-AVIS-SOC-GLASSDOOR-E1922609_P1.html
E1922609_P1_23;taille_du_fichier;55
E18712_P1_24;date_heure_recuperation;2023-12-13
E18712_P1_24;nom_fichier;2023-12-13-10-13576-AVIS-SOC-GLASSDOOR-E18712_P1.html
E18712_P1_24;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E18712_P1_24;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E18712_P1_24;source_du_fichier;GLASSDOOR
E18712_P1_24;type_du_fichier;AVIS-SOC
E18712_P1_24;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13576-AVIS-SOC-GLASSDOOR-E18712_P1.html
E18712_P1_24;taille_du_fichier;53
E18712_P2_25;date_heure_recuperation;2023-12-13
E18712_P2_25;nom_fichier;2023-12-13-10-13576-AVIS-SOC-GLASSDOOR-E18712_P2.html
E18712_P2_25;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E18712_P2_25;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E18712_P2_25;source_du_fichier;GLASSDOOR
E18712_P2_25;type_du_fichier;AVIS-SOC
E18712_P2_25;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13576-AVIS-SOC-GLASSDOOR-E18712_P2.html
E18712_P2_25;taille_du_fichier;53
E235143_P1_26;date_heure_recuperation;2023-12-13
E235143_P1_26;nom_fichier;2023-12-13-10-13577-AVIS-SOC-GLASSDOOR-E235143_P1.html
E235143_P1_26;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E235143_P1_26;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E235143_P1_26;source_du_fichier;GLASSDOOR
E235143_P1_26;type_du_fichier;AVIS-SOC
E235143_P1_26;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13577-AVIS-SOC-GLASSDOOR-E235143_P1.html
E235143_P1_26;taille_du_fichier;54
E1044716_P1_27;date_heure_recuperation;2023-12-13
E1044716_P1_27;nom_fichier;2023-12-13-10-13584-AVIS-SOC-GLASSDOOR-E1044716_P1.html
E1044716_P1_27;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E1044716_P1_27;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E1044716_P1_27;source_du_fichier;GLASSDOOR
E1044716_P1_27;type_du_fichier;AVIS-SOC
E1044716_P1_27;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13584-AVIS-SOC-GLASSDOOR-E1044716_P1.html
E1044716_P1_27;taille_du_fichier;55
E1044716_P2_28;date_heure_recuperation;2023-12-13
E1044716_P2_28;nom_fichier;2023-12-13-10-13584-AVIS-SOC-GLASSDOOR-E1044716_P2.html
E1044716_P2_28;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E1044716_P2_28;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E1044716_P2_28;source_du_fichier;GLASSDOOR
E1044716_P2_28;type_du_fichier;AVIS-SOC
E1044716_P2_28;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13584-AVIS-SOC-GLASSDOOR-E1044716_P2.html
E1044716_P2_28;taille_du_fichier;55
E13058_P1_29;date_heure_recuperation;2023-12-13
E13058_P1_29;nom_fichier;2023-12-13-10-13585-AVIS-SOC-GLASSDOOR-E13058_P1.html
E13058_P1_29;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E13058_P1_29;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E13058_P1_29;source_du_fichier;GLASSDOOR
E13058_P1_29;type_du_fichier;AVIS-SOC
E13058_P1_29;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13585-AVIS-SOC-GLASSDOOR-E13058_P1.html
E13058_P1_29;taille_du_fichier;53
E13058_P2_30;date_heure_recuperation;2023-12-13
E13058_P2_30;nom_fichier;2023-12-13-10-13585-AVIS-SOC-GLASSDOOR-E13058_P2.html
E13058_P2_30;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E13058_P2_30;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E13058_P2_30;source_du_fichier;GLASSDOOR
E13058_P2_30;type_du_fichier;AVIS-SOC
E13058_P2_30;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13585-AVIS-SOC-GLASSDOOR-E13058_P2.html
E13058_P2_30;taille_du_fichier;53
E649071_P1_31;date_heure_recuperation;2023-12-13
E649071_P1_31;nom_fichier;2023-12-13-10-13586-AVIS-SOC-GLASSDOOR-E649071_P1.html
E649071_P1_31;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E649071_P1_31;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E649071_P1_31;source_du_fichier;GLASSDOOR
E649071_P1_31;type_du_fichier;AVIS-SOC
E649071_P1_31;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13586-AVIS-SOC-GLASSDOOR-E649071_P1.html
E649071_P1_31;taille_du_fichier;54
E1838_P1_32;date_heure_recuperation;2023-12-13
E1838_P1_32;nom_fichier;2023-12-13-10-13587-AVIS-SOC-GLASSDOOR-E1838_P1.html
E1838_P1_32;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E1838_P1_32;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E1838_P1_32;source_du_fichier;GLASSDOOR
E1838_P1_32;type_du_fichier;AVIS-SOC
E1838_P1_32;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13587-AVIS-SOC-GLASSDOOR-E1838_P1.html
E1838_P1_32;taille_du_fichier;52
E1838_P2_33;date_heure_recuperation;2023-12-13
E1838_P2_33;nom_fichier;2023-12-13-10-13587-AVIS-SOC-GLASSDOOR-E1838_P2.html
E1838_P2_33;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E1838_P2_33;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E1838_P2_33;source_du_fichier;GLASSDOOR
E1838_P2_33;type_du_fichier;AVIS-SOC
E1838_P2_33;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13587-AVIS-SOC-GLASSDOOR-E1838_P2.html
E1838_P2_33;taille_du_fichier;52
E111193_P1_34;date_heure_recuperation;2023-12-13
E111193_P1_34;nom_fichier;2023-12-13-10-13596-AVIS-SOC-GLASSDOOR-E111193_P1.html
E111193_P1_34;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
